,_id,comment,download,follow,name,num_score,score,tags,volume,comment_ori,download_ori,follow_ori,num_score_ori,volume_ori
1229,5bf6831bfe8e1d06a430163a,721.0,5.8,3935.0,Idea Note-胶囊便签,507.0,4.7,[],12.77,721,5.8万,3935,507,12.77M
1230,5bf68320fe8e1d06a430163b,234.0,5.8,242.0,王者人生,157.0,2.0,"['玩家社区', '社区', '腾讯']",32.97,234,5.8万,242,157,32.97M
1231,5bf68325fe8e1d06a430163c,56.0,5.8,79.0,趣店,87.0,1.9,['分期'],28.23,56,5.8万,79,87,28.23M
1232,5bf68329fe8e1d06a430163d,167.0,5.9,1565.0,MIUI助手,82.0,4.2,"['授权', '等待', '去除']",2.14,167,5.9万,1565,82,2.14M
1233,5bf6832ffe8e1d06a430163e,12.0,5.9,40.0,减肥小秘书,11.0,3.6,"['减肥', '生活']",51.3,12,5.9万,40,11,51.30M
1234,5bf68336fe8e1d06a430163f,73.0,5.9,644.0,马甲线,49.0,3.8,"['健身', '锻炼', '塑身']",15.79,73,5.9万,644,49,15.79M
1235,5bf6833dfe8e1d06a4301640,139.0,5.9,403.0,二柄,39.0,2.9,"['游戏社区', 'psp', 'xbox']",35.02,139,5.9万,403,39,35.02M
1236,5bf68343fe8e1d06a4301641,175.0,5.9,114.0,海尔洗衣,159.0,1.9,"['洗衣', '清洗', 'O2O']",34.86,175,5.9万,114,159,34.86M
1237,5bf6834afe8e1d06a4301642,247.0,5.9,2539.0,X-Flat图标包,54.0,4.6,['图标包'],5.01,247,5.9万,2539,54,5.01M
1238,5bf68350fe8e1d06a4301643,46.0,5.9,315.0,comico漫画,11.0,4.2,['漫画'],11.86,46,5.9万,315,11,11.86M
1239,5bf68356fe8e1d06a4301644,410.0,6.0,866.0,WakeUp课程表,188.0,4.8,[],5.49,410,6.0万,866,188,5.49M
1240,5bf6835cfe8e1d06a4301645,703.0,6.0,2504.0,ViaNext 浏览器,167.0,4.6,"['浏览器', '酷友作品']",0.187744140625,703,6.0万,2504,167,192.25K
1241,5bf68361fe8e1d06a4301646,114.0,6.0,286.0,体检宝测血压视力心率,115.0,2.8,"['健康', '视力', '听力']",10.28,114,6.0万,286,115,10.28M
1242,5bf68366fe8e1d06a4301647,485.0,6.0,4127.0,AppOpsX,162.0,4.6,"['权限管理', '隐私', 'appops', 'root']",1.68,485,6.0万,4127,162,1.68M
1243,5bf6836cfe8e1d06a4301648,49.0,6.0,141.0,中粮我买网,18.0,3.3,"['购物', '电商']",22.81,49,6.0万,141,18,22.81M
1244,5bf68372fe8e1d06a4301649,223.0,6.0,3532.0,日语五十音,130.0,4.7,"['五十音图', '学习日语', '五十音', '学习']",3.58,223,6.0万,3532,130,3.58M
1245,5bf68378fe8e1d06a430164a,91.0,6.0,199.0,ZenUI 桌面,63.0,4.2,"['launcher', '启动器', '桌面']",15.9,91,6.0万,199,63,15.90M
1246,5bf6837dfe8e1d06a430164b,44.0,6.0,1786.0,牛客,57.0,4.4,"['笔试', '题库', '求职']",26.25,44,6.0万,1786,57,26.25M
1247,5bf68384fe8e1d06a430164c,611.0,6.0,1916.0,悬浮助手:RelaxFinger,141.0,4.6,"['手势', '悬浮']",1.69,611,6.0万,1916,141,1.69M
1248,5bf68389fe8e1d06a430164d,23.0,6.0,502.0,FilterGrid,58.0,4.6,"['图片处理', '图像铃音']",9.56,23,6.0万,502,58,9.56M
1249,5bf68390fe8e1d06a430164e,33.0,6.0,108.0,淘宝安全中心,80.0,1.9,"['淘宝', '支付宝', '购物']",5.05,33,6.0万,108,80,5.05M
1250,5bf68397fe8e1d06a430164f,43.0,6.0,59.0,瓜子二手车,30.0,3.7,"['买车', '二手车', '汽车']",17.74,43,6.0万,59,30,17.74M
1251,5bf6839cfe8e1d06a4301650,137.0,6.0,150.0,和包,39.0,3.0,"['钱包', '支付', '移动']",27.84,137,6.0万,150,39,27.84M
1252,5bf683a3fe8e1d06a4301651,349.0,6.1,1800.0,Nature图标包,140.0,4.7,[],13.01,349,6.1万,1800,140,13.01M
1253,5bf683aafe8e1d06a4301652,37.0,6.1,145.0,小蚁运动相机,130.0,3.1,"['小米', '摄影', '极限拍照']",44.0,37,6.1万,145,130,44.00M
1254,5bf683b0fe8e1d06a4301653,112.0,6.1,510.0,盘丝洞,208.0,3.2,"['交友', '私密', '两性', '情趣']",43.84,112,6.1万,510,208,43.84M
1255,5bf683b3fe8e1d06a4301654,59.0,6.1,226.0,半糖,87.0,2.6,"['购物', '导购']",14.9,59,6.1万,226,87,14.90M
1256,5bf683b9fe8e1d06a4301655,84.0,6.1,2755.0,w3cschool-轻松学编程,39.0,4.2,"['编程', '社区', None]",18.28,84,6.1万,2755,39,18.28M
