,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3182,002570,*ST因美,乳制品,浙江,281.09,10.22,10.23,469268.25,215057.25,143691.02,121285.07,1.19,0.008,1.83,2.56,20110412,-61874.81,-0.61,-4.14,102.32,52.61,0.69,64575.0
3183,300353,东土科技,通信设备,北京,96.44,3.51,5.17,301477.28,119689.07,12897.92,130511.82,2.52,0.061,4.2,2.79,20120927,32070.85,0.62,8.91,-27.85,51.86,8.52,51482.0
3184,002581,未名医药,生物制药,山东,448.75,4.01,6.6,430038.19,270185.41,43755.84,135471.23,2.05,0.008,4.34,1.75,20110520,115412.61,1.75,-44.6,-96.84,82.79,1.9,26891.0
3185,601012,隆基股份,半导体,陕西,14.36,27.66,27.92,3789464.0,2117012.75,1269818.38,463270.44,1.66,0.46799999999999997,5.2,2.59,20120411,684496.69,2.45,59.36,5.73,22.62,13.07,78343.0
3186,002439,启明星辰,软件服务,北京,359.85,5.85,8.97,399087.03,203638.13,25374.45,92991.81,1.04,0.026000000000000002,3.44,5.44,20100623,120904.47,1.35,7.36,14898.4,63.07,3.15,58185.0
3187,000997,新 大 陆,软件服务,福建,21.0,9.31,10.11,1165224.25,921148.13,34154.42,155399.91,1.54,0.33399999999999996,4.97,2.82,20000807,225946.72,2.24,1.4,-21.19,30.84,13.27,94357.0
3188,002930,宏川智慧,仓储物流,广东,73.44,0.61,2.43,234225.16,48711.85,99910.18,102146.59,4.2,0.22,7.06,4.06,20180328,43010.89,1.77,0.0,0.0,59.04,25.04,54616.0
3189,603050,科林电气,电气设备,河北,40.28,0.8,1.62,174609.81,130444.6,17989.82,47005.43,2.9,0.151,6.12,1.99,20170414,31844.83,1.96,15.23,27.62,28.76,5.97,16124.0
3190,300016,北陆药业,中成药,北京,21.77,3.81,4.89,121366.05,52858.05,18173.81,36903.7,0.75,0.17300000000000001,2.33,3.23,20091030,38463.98,0.79,10.21,17.69,67.38,27.21,30666.0
3191,002869,金溢科技,通信设备,深圳,0.0,0.45,1.18,127482.4,106401.15,4021.06,63015.38,5.35,-0.033,8.35,2.35,20170515,19246.22,1.63,-31.64,-106.87,37.88,-1.7,15861.0
3192,300708,聚灿光电,半导体,江苏,0.0,0.64,2.57,252165.42,120580.56,33776.26,25434.1,0.99,-0.048,2.66,5.19,20171016,15295.2,0.59,-12.4,-122.25,21.18,-4.59,35687.0
3193,300056,三维丝,环境保护,福建,0.0,2.37,3.85,266673.63,144476.67,37809.21,91488.22,2.37,-0.086,3.54,1.62,20100226,4446.87,0.12,45.21,45.13,18.19,-10.22,22079.0
3194,002520,日发精机,机床制造,浙江,37.23,4.97,5.54,262751.5,191984.91,38397.68,97096.15,1.75,0.092,3.15,2.19,20101210,15107.9,0.27,10.28,31.3,32.62,9.09,29988.0
3195,600661,新南洋,文教休闲,上海,72.46,2.59,2.87,337135.78,227843.22,34092.05,82050.99,2.86,0.166,5.55,4.33,19930614,38788.96,1.35,21.42,12.36,44.49,4.93,13914.0
3196,600522,中天科技,通信设备,江苏,12.38,27.31,30.66,2925104.0,2009651.0,546662.81,762229.44,2.49,0.34600000000000003,5.91,1.45,20021024,646329.81,2.11,27.68,11.62,15.79,6.76,172191.0
3197,300468,四方精创,软件服务,深圳,50.32,1.85,1.95,118849.97,72849.71,1967.48,61017.01,3.14,0.29,5.18,3.09,20150527,27621.73,1.42,6.77,10.28,44.05,14.68,16869.0
