name,type,value,date
神雾环保,,211.7,2016
神雾环保,,278.5,2017
神雾环保,,114,2018
盛运环保,,30.7,2010
盛运环保,,31.7,2011
盛运环保,,34,2012
盛运环保,,78.5,2013
盛运环保,,84.7,2014
盛运环保,,109.8,2015
盛运环保,,124.8,2016
盛运环保,,132.7,2017
盛运环保,,100.3,2018
三聚环保,,43.1,2010
三聚环保,,33,2011
三聚环保,,39.5,2012
三聚环保,,84.4,2013
三聚环保,,109.7,2014
三聚环保,,223.7,2015
三聚环保,,390.2,2016
三聚环保,,627.3,2017
三聚环保,,515.7,2018
旺能环境,,8.8,2009
旺能环境,,10.3,2010
旺能环境,,15.5,2011
旺能环境,,9.8,2012
旺能环境,,9.8,2013
旺能环境,,13.7,2014
旺能环境,,27,2015
旺能环境,,35.3,2016
旺能环境,,57.8,2017
旺能环境,,101.1,2018
碧水源,,163.1,2010
碧水源,,145.1,2011
碧水源,,164.8,2012
碧水源,,330,2013
碧水源,,321.2,2014
碧水源,,519.2,2015
碧水源,,523.8,2016
碧水源,,566.9,2017
碧水源,,484.4,2018
开能健康,,22.9,2011
开能健康,,18.5,2012
开能健康,,21.5,2013
开能健康,,36.9,2014
开能健康,,67.5,2015
开能健康,,53.9,2016
开能健康,,39.2,2017
开能健康,,39.4,2018
雪浪环境,,39.2,2014
雪浪环境,,49.7,2015
雪浪环境,,42.6,2016
雪浪环境,,37.4,2017
雪浪环境,,27.1,2018
神雾节能,,14.7,2009
神雾节能,,14.1,2010
神雾节能,,15.5,2011
神雾节能,,,2012
神雾节能,,28.8,2013
神雾节能,,21.8,2014
神雾节能,,43,2015
神雾节能,,75.2,2016
神雾节能,,209.4,2017
神雾节能,,87.8,2018
先河环保,,44.3,2010
先河环保,,29.3,2011
先河环保,,22.4,2012
先河环保,,30,2013
先河环保,,46.1,2014
先河环保,,67.9,2015
先河环保,,50.8,2016
先河环保,,77.9,2017
先河环保,,61.3,2018
中环环保,,45.5,2017
中环环保,,38.1,2018
理工环科,,39.1,2009
理工环科,,60,2010
理工环科,,36.9,2011
理工环科,,24.8,2012
理工环科,,35.5,2013
理工环科,,34.6,2014
理工环科,,62.9,2015
理工环科,,74,2016
理工环科,,88.5,2017
理工环科,,57.9,2018
南方汇通,,28.1,2009
南方汇通,,36.2,2010
南方汇通,,43.3,2011
南方汇通,,30.1,2012
南方汇通,,35.8,2013
南方汇通,,47.9,2014
南方汇通,,88.8,2015
南方汇通,,72.1,2016
南方汇通,,53.7,2017
南方汇通,,32.3,2018
三维丝,,20.2,2010
三维丝,,15.5,2011
三维丝,,10.1,2012
三维丝,,16.5,2013
三维丝,,25.9,2014
三维丝,,60.7,2015
三维丝,,63.1,2016
三维丝,,49,2017
三维丝,,25.9,2018
科林环保,,35.5,2010
科林环保,,23.8,2011
科林环保,,17.9,2012
科林环保,,23.6,2013
科林环保,,29.9,2014
科林环保,,55,2015
科林环保,,42.3,2016
科林环保,,47.7,2017
科林环保,,29.7,2018
南华生物,,27.9,2009
南华生物,,29.5,2010
南华生物,,29.8,2011
南华生物,,17.5,2012
南华生物,,19.9,2013
南华生物,,21.8,2014
南华生物,,59.3,2015
南华生物,,51.2,2016
南华生物,,59.6,2017
南华生物,,67.4,2018
雪迪龙,,29.2,2012
雪迪龙,,50.8,2013
雪迪龙,,63.4,2014
雪迪龙,,144.8,2015
雪迪龙,,105,2016
雪迪龙,,95.5,2017
雪迪龙,,59.3,2018
东方园林,,55.9,2009
东方园林,,127.2,2010
东方园林,,149.6,2011
东方园林,,156.5,2012
东方园林,,218.7,2013
东方园林,,177.1,2014
东方园林,,320.5,2015
东方园林,,288.4,2016
东方园林,,481,2017
东方园林,,461.5,2018
