category,content,year,辅助
语言,普通话,1995,二
播映,,1995,三
首播频道,中国中央电视台一套（现综合频道）,1995,四
播出国家／地区,中国大陆,1995,五
播出日期,1995年1月30日20:00－1995年1月31日凌晨,1995,六
相关节目,,1995,日
续作,1996年中国中央电视台春节联欢晚会,1995,一
外部链接,,1995,二
官方网站,,1995,三
类型,贺岁节目,1996,四
导演,张晓海,1996,五
主持,赵忠祥、倪萍（北京）、程前、袁鸣（上海）、张晓、周涛（西安）[1],1996,六
主演,节目单,1996,日
制作国家／地区,中国大陆,1996,一
语言,普通话,1996,二
播映,,1996,三
首播频道,中国中央电视台新闻·综合频道（现综合频道）,1996,四
播出国家／地区,中国大陆,1996,五
播出日期,1996年2月18日20:00－1996年2月19日凌晨,1996,六
相关节目,,1996,日
续作,1997年中国中央电视台春节联欢晚会,1996,一
外部链接,,1996,二
官方网站,,1996,三
类型,贺岁节目,1997,四
导演,袁德旺,1997,五
主持,赵忠祥、倪萍、程前、周涛、朱军、亚宁[1],1997,六
主演,节目单,1997,日
制作国家／地区,中国大陆,1997,一
语言,普通话,1997,二
播映,,1997,三
首播频道,中国中央电视台新闻·综合频道（现综合频道）,1997,四
播出国家／地区,中国大陆,1997,五
播出日期,1997年2月6日20:00－1997年2月7日凌晨,1997,六
相关节目,,1997,日
续作,1998年中国中央电视台春节联欢晚会,1997,一
外部链接,,1997,二
官方网站,,1997,三
类型,贺岁节目,1998,四
导演,孟欣,1998,五
主持,赵忠祥、倪萍、朱军、周涛、亚宁、王雪纯刘纯燕、何炅、曾媛（客串）[1],1998,六
主演,节目单,1998,日
制作国家／地区,中国大陆,1998,一
语言,普通话,1998,二
播映,,1998,三
首播频道,中国中央电视台新闻·综合频道（现综合频道）,1998,四
播出国家／地区,中国大陆,1998,五
播出日期,1998年1月27日20:00－1998年1月28日凌晨,1998,六
相关节目,,1998,日
续作,1999年中国中央电视台春节联欢晚会,1998,一
外部链接,,1998,二
官方网站,,1998,三
类型,贺岁节目,1999,四
导演,刘铁民、朱彤、黄海涛、陈雨露、周晓东,1999,五
主持,赵忠祥、倪萍、朱军、周涛[1]、曾志伟、沈殿霞,1999,六
主演,节目单,1999,日
制作国家／地区,中国大陆,1999,一
语言,普通话,1999,二
播映,,1999,三
首播频道,中国中央电视台新闻·综合频道（现综合频道）,1999,四
播出国家／地区,中国大陆,1999,五
播出日期,1999年2月15日20:00－1999年2月16日凌晨,1999,六
相关节目,,1999,日
续作,2000年中国中央电视台春节联欢晚会,1999,一
外部链接,,1999,二
官方网站,,1999,三
类型,贺岁节目,2000,四
导演,赵安、张晓海,2000,五
主持,赵忠祥、倪萍、赵薇、温兆伦、王思懿、濮存昕、牛群、冯巩、杨澜、姜昆、周涛、朱军、白岩松、文清、赵琳、曹颖、李小萌、崔永元、文兴宇、鞠萍[1],2000,六
主演,节目单,2000,日
制作国家／地区,中国大陆,2000,一
语言,普通话,2000,二
播映,,2000,三
首播频道,中国中央电视台新闻·综合频道（现综合频道）,2000,四
播出国家／地区,中国大陆,2000,五
播出日期,2000年2月4日20:00－2000年2月5日凌晨,2000,六
相关节目,,2000,日
续作,2001年中国中央电视台春节联欢晚会,2000,一
