cat_name,com_id,com_logo_archive,com_name,com_prov,com_scope_id,current	,invse_currency_id,invse_day,invse_detail_money,invse_guess_particulars,invse_month,invse_round_id,invse_year,round
电子商务,20087,0201bd1eecbbe22258fb3900ab066cc4.png,回收宝,广东,145,,1,6,--,16.00,9,4,2018,C轮
电子商务,21583,18c73cddd54c3f533547c9b87fa904a0.png,Patpat,广东,145,,1,18,30000,16.00,4,4,2018,C轮
医疗健康,43887,629ae2351356ea541331879e117e7bfd.png,吉因加,北京,47,,1,26,20000,16.00,8,2,2016,A轮
文化娱乐,29877,1c984952f1637c24c93ae6bbb4ddee4e.png,摩天轮票务,上海,115,,2,10,6000,15.60,7,4,2018,C轮
硬件,44687,fdfe4c0801f843b942a24b10c040188f.jpg,盛科网络,江苏,103,,1,21,31000,15.50,9,3,2016,B轮
教育,31576,66a7bc61945e87b10f226bac052a50a9.png,杰睿教育,北京,1,,1,23,13000,15.50,7,2,2018,A轮
电子商务,81533,b82a4ae78383ec33db123b8c8608f70a.jpg,铜师傅,浙江,145,,1,19,31000,15.50,8,3,2018,B轮
金融,60273,72a5f17717ff9454e902bf5c6169ea58.jpg,卡得万利,上海,12,,1,21,--,15.00,3,4,2018,C轮
医疗健康,28869,d9ce23ba6f404a65ada861e65045efd1.png,迈博斯生物,江苏,47,,1,10,25500,15.00,5,3,2018,B轮
教育,8960,archive/8960.jpg,悠游堂Yuyuto,上海,1,,1,25,4000,15.00,2,11,2016,战略投资
企业服务,31806,a7410f6a2404117d99c2e9e9ec10e8b3.jpg,鲁班软件,上海,126,,1,12,30000,15.00,1,2,2016,A轮
硬件,33548,4ff09b7bdd6cbdf71a9cb054f199a028.png,Geek+,北京,103,,2,13,6000,15.00,7,3,2017,B轮
医疗健康,58974,57ef3a6c4fae1d30a0596ad357c436fc.png,澳华内镜,上海,47,,1,29,30000,15.00,9,5,2018,D轮
电子商务,36025,847ea7503ae49a18fdec79994186533d.png,行云全球汇,广东,145,,1,9,30000,15.00,5,2,2018,A轮
医疗健康,32339,74119b423bd506f93d4d0d07fa4f88fb.png,树兰医疗,浙江,47,,1,1,30000,15.00,12,3,2016,B轮
电子商务,38965,78ddc1d0d91bbd5cdc593ac4db5e9dea.png,上蔬永辉,上海,145,,1,20,30000,15.00,12,3,2015,B轮
体育运动,33537,5c5c8173b4d08b57ea930e5a40aeef08.png,微赛体育,北京,210,,1,14,--,15.00,2,14,2018,A+轮
企业服务,17508,746d6484d134a3801647400a3810a0fe.jpg,码隆科技,广东,126,,1,13,--,15.00,8,11,2018,战略投资
本地生活,34124,f3d338e35b42d84cae4b6f2d39f97618.jpg,嗖嗖身边,北京,70,,1,21,30000,15.00,5,3,2018,B轮
汽车交通,5368,archive/5368.jpg,PP租车,北京,28,,2,16,--,15.00,9,4,2015,C轮
体育运动,26457,70dfc79f6f93eb3a48aae2c0e7d2149a.png,乐刻运动,浙江,210,,1,13,30000,15.00,10,4,2017,C轮
医疗健康,11321,archive/11321.png,心医国际,北京,47,,1,31,--,15.00,1,5,2018,D轮
硬件,26289,9f43dcc60eda3eed8942f36bdb2d49a4.png,伏特加共享充电宝,上海,103,,1,28,30000,15.00,11,2,2017,A轮
电子商务,33628,d83b75e53b872d77925ff0511ab6aab9.png,U掌柜,浙江,145,,1,17,--,15.00,10,16,2017,B+轮
文化娱乐,27446849,466ed420a5dfad9d9ba95d98cf16642b.png,36氪传媒,北京,115,,1,13,30000,15.00,12,2,2017,A轮
医疗健康,25295,73711169559ed6a29c07c8fd4a5991e7.jpg,燃石医学,广东,47,,1,29,30000,15.00,12,3,2016,B轮
文化娱乐,10641,archive/10641.png,摩登天空ModernSKY,北京,115,,1,21,--,15.00,10,7,2016,F轮-上市前
医疗健康,25382,f737796bdbaa6d6533223cbb92f31454.png,上药云健康,上海,47,,1,19,13500,15.00,3,14,2016,A+轮
金融,8488,756534c336df67713ae4674a4551aaea.png,投哪网,广东,12,,1,3,30000,15.00,1,4,2018,C轮
旅游,41299,91060c1e6b2d062db12a212f49695d57.jpg,驰誉旅游,上海,57,,1,16,30000,15.00,6,2,2016,A轮
物流,17092,c9296582e432ba08bc7206b5a1468e95.jpg,福佑卡车,江苏,211,,1,2,15000,15.00,1,19,2018,C+轮
广告营销,41471,cea1ed6368f59393ae685fa4b13f2b4a.png,ZMT众盟,北京,95,,1,15,18000,15.00,11,16,2017,B+轮
汽车交通,12200,archive/12200.png,凹凸租车,上海,28,,1,31,--,15.00,8,19,2017,C+轮
医疗健康,24920,4f53c02d308802b60c18adb178423a0b.jpg,贝登医疗,江苏,47,,1,22,10000,15.00,5,14,2018,A+轮
硬件,42293,b3a1f98d249e794f4364d60c5a34a0ac.png,天仪研究院,湖南,103,,1,20,15000,15.00,7,3,2018,B轮
