cat_name,com_id,com_logo_archive,com_name,com_prov,com_scope_id,current	,invse_currency_id,invse_day,invse_detail_money,invse_guess_particulars,invse_month,invse_round_id,invse_year,round
文化娱乐,66903,30676b0526fefe0c67c47ccb11e3258f.png,银河酷娱火星情报局,天津,115,,1,27,20000,10.00,6,3,2017,B轮
企业服务,61822,aecf18044f4cff2f591c041a8f6ebb9e.png,肯耐珂萨,上海,126,,1,18,15000,10.00,1,16,2018,B+轮
金融,59199,e3f35b9d48c6b57c158ee478683145ee.png,奖金网,广东,12,,1,1,20000,10.00,3,3,2017,B轮
旅游,24544,com_logo_archive/24544.png,青普旅游,北京,57,,1,20,20000,10.00,3,2,2017,A轮
金融,58818,df81f4d0f47af25c7de6e31bfa498bb9.png,浅橙科技,上海,12,,1,26,20000,10.00,7,3,2017,B轮
房产服务,20743,37c552ea7b695bc02940300aa1953171.png,未来域,北京,38,,1,8,20000,10.00,6,3,2017,B轮
汽车交通,67501,708c0d7fbd33c7b894d421ceea477f2e.png,和谐汽车,河南,28,,1,30,28000,10.00,6,11,2017,战略投资
教育,15553,b9e2e1a3e79e6bc3bc0140aaa3d6f219.jpg,小熊尼奥,上海,1,,1,21,25000,10.00,10,3,2016,B轮
金融,58578,3ca8b550a2d55210c4f95e2c52bfa6f8.jpg,雨点金服,上海,12,,1,28,20000,10.00,12,3,2016,B轮
游戏,10784,archive/10784.png,爱游戏,江苏,80,,1,1,30000,10.00,6,2,2014,A轮
金融,58383,f9a56cf9b3ea20109573a55147671877.png,恩多在线,广东,12,,1,18,20000,10.00,1,2,2017,A轮
企业服务,32967275,da96ddf10e8709bb3ab8db9a8a96864c.png,微天下,浙江,126,,1,15,20000,10.00,6,2,2018,A轮
医疗健康,68324,c5a2867747302f6251bb2f38aad08e72.png,义翘神州,北京,47,,1,15,20000,10.00,5,2,2017,A轮
文化娱乐,1085,95d3c10fb55a8cc7e065602e5a235cfe.png,车语传媒,北京,115,,1,12,20000,10.00,9,4,2017,C轮
电子商务,55355,3acfafdba2d3adb00e9b8be5dc493a61.png,踏浪者,北京,145,,1,2,20000,10.00,3,3,2017,B轮
金融,27638,3c1e584277ffb866478b3752bacc13c8.png,蔚捷科技,上海,12,,1,23,5000,10.00,3,5,2018,D轮
企业服务,54847,74a24f5ccd8ddec25a97112a770c33aa.jpg,阿拉丁小程序统计平台,北京,126,,1,27,6000,10.00,2,2,2018,A轮
体育运动,25849,2c7cd309a7b45b9f4a7d457b94b0a937.jpg,悦动圈,广东,210,,1,24,10000,10.00,4,4,2017,C轮
物流,54503,23eb7245aa06601cae727ef5857cbf28.jpg,快仓智能仓储机器人,上海,211,,1,29,20000,10.00,3,3,2017,B轮
汽车交通,23382,3b067bf5d78bb35773ebadfab404108a.png,车车车险,北京,28,,1,2,20000,10.00,11,3,2017,B轮
教育,54087,55a20a2b1230a7086b1a9d6d38a4fc0d.png,VIP陪练,上海,1,,1,8,--,10.00,1,3,2018,B轮
汽车交通,21035,c476484392d51a9758221a5072518a74.png,博车网,北京,28,,1,22,20000,10.00,1,3,2016,B轮
医疗健康,52978,701f0a998ffe01ec42253ad6769f3f0a.png,奕真生物,浙江,47,,1,19,20000,10.00,10,3,2016,B轮
电子商务,17958,435f1f5e7fe4882b63331b4b811c4cc9.jpg,好彩头,福建,145,,1,15,20000,10.00,2,2,2015,A轮
医疗健康,52948,71f6046d1f0b1dac882060ef169e21f8.jpg,图玛深维,北京,47,,1,1,20000,10.00,12,3,2017,B轮
企业服务,15808,179822ef4d3f103ec5e8d749368a4c31.jpg,青藤云安全,北京,126,,1,26,20000,10.00,2,3,2018,B轮
电子商务,52816,57893412008e42e44418476df31ba7a2.png,动态科技,广东,145,,1,3,30000,10.00,4,2,2016,A轮
医疗健康,13967,archive/13967.png,微医贝联,上海,47,,1,27,--,10.00,10,11,2016,战略投资
企业服务,78849,1f6de048739e7e1e89295bc4c2747811.png,树根互联,北京,126,,1,9,--,10.00,1,2,2018,A轮
企业服务,32709433,35e160e5d30877bdbc292dcfce1c463c.png,拍拍看,海南,126,,1,14,20000,10.00,3,2,2018,A轮
金融,51636,31bc3fbd2152894b9dd301aa49d3e5b8.png,海融易,山东,12,,1,12,20000,10.00,7,2,2017,A轮
企业服务,8500,dc622a90acc7a594e7fcd534473d1f60.png,海云数据HYDATA,北京,126,,1,15,10000,10.00,8,3,2017,B轮
硬件,49620,496b229c0d9ce814f004b35273c99593.png,352空气净化器,北京,103,,1,6,20000,10.00,11,2,2017,A轮
文化娱乐,32838107,45467084efeee5ad8a55c08c554b0406.png,麦希影院,上海,115,,1,17,--,10.00,3,2,2018,A轮
游戏,79889,48894559b0755a5b6a57a9e39d3d4707.png,乐易游戏,广东,80,,1,10,--,10.00,3,2,2016,A轮
旅游,2730,6b231978a20ca0a75f45b8f5489fe8d2.png,泰坦云,广东,57,,1,27,10000,10.00,6,4,2018,C轮
本地生活,79988,0a2fc9f6077c9382b9d482780706aba8.png,老乡鸡餐饮,安徽,70,,1,23,20000,10.00,1,3,2018,B轮
本地生活,33292671,1b43bc3e0ccd8d892389fbc502159a83.png,地球港,北京,70,,1,12,--,10.00,8,12,2018,Pre-A轮
本地生活,80168,e7f2e16faf36c5a6a02986aa6bf8302e.png,西婵,四川,70,,1,10,20000,10.00,8,11,2017,战略投资
企业服务,1062,archive/1062.png,WiTown树熊网络,浙江,126,,1,12,20000,10.00,6,3,2016,B轮
企业服务,46242,eaefa2327269007fc8a5810948011eb5.png,竹云科技,广东,126,,1,22,--,10.00,5,14,2018,A+轮
金融,28112,f2a253ed19e7e1ef3ee6626e14549c99.png,微牛,湖南,12,,1,19,20000,10.00,7,3,2018,B轮
体育运动,44635,1916632bfaa16c5600e03efa4b372f3b.png,暴风体育,北京,210,,1,20,20400,10.00,9,2,2016,A轮
汽车交通,15790152,7961aad01c87e588a861a336817d608f.png,宽凳科技,北京,28,,1,26,16000,10.00,2,2,2018,A轮
金融,43768,77e9966f41ecd197dd7f60ac3381f293.png,鹏金所,广东,12,,1,24,30000,10.00,8,11,2016,战略投资
医疗健康,19899602,3b5b21d352d7944d026ee41ff4649b09.png,DiaCarta帝基生物,江苏,47,,1,20,30000,10.00,11,3,2017,B轮
企业服务,42598,8ae6b507db6af55868c4787a36436df3.png,白山,贵州,126,,1,1,24000,10.00,6,19,2018,C+轮
文化娱乐,25669,c67c1c25986a2f67f8fe88a34a31eb18.png,美篇,江苏,115,,1,8,--,10.00,8,3,2018,B轮
金融,41458,633fcd81ff4766902cdb7c068eb68585.jpg,资本在线,广东,12,,1,22,20000,10.00,6,3,2016,B轮
汽车交通,24327,a7ab5bd23bd9500722cfa9d40f04371f.jpg,德师傅,北京,28,,1,19,--,10.00,10,16,2017,B+轮
企业服务,81839,327ac57a220ab0f247f4dcff8ab9629e.png,岛里,江苏,126,,1,29,20000,10.00,11,2,2015,A轮
金融,23049,e62307af900500d05a6d237548d0c37f.png,投之家,广东,12,,1,15,40900,10.00,6,3,2018,B轮
本地生活,37956,9ff6b25f81271b52742acd2f48859b0c.jpg,爱便利,河南,70,,1,30,20000,10.00,3,3,2017,B轮
游戏,21036,ffc46dd62a5958e1e0297525ecc0572c.png,NOX夜神,北京,80,,1,20,20000,10.00,11,3,2017,B轮
医疗健康,35452,2a019b55a24206a1c552ce85208fdc23.png,360好药,广东,47,,1,26,10000,10.00,5,2,2016,A轮
物流,20779,ff657d76e85cba055f8ccb99b619e7ac.png,UU跑腿,河南,211,,1,6,20000,10.00,8,3,2018,B轮
金融,34894,8dd8828bc92984e1ce5eaf264cf35320.jpg,泓申金服,上海,12,,1,30,12000,10.00,11,3,2017,B轮
文化娱乐,20255,bce771ed089a8a27b6d33c2dd1b7218d.jpg,Hotoday英威诺,广东,115,,1,2,20000,10.00,12,3,2015,B轮
硬件,34663,257889569477f455a734cce0c284e7cb.png,珞石机器人,北京,103,,1,20,16000,10.00,9,3,2018,B轮
电子商务,17860,a8e19e69fc99b418107521fed93143c8.jpg,SheIn找库科技,广东,145,,1,5,20000,10.00,6,3,2015,B轮
硬件,34622,fc17c7856b3c9465192658d3aae88c85.png,数字绿土Lidar360,北京,103,,1,25,--,10.00,12,3,2017,B轮
企业服务,17231,486003b52f9e40e18adbfc3aff751747.png,DaoCloud道客云,上海,126,,1,19,10000,10.00,9,3,2018,B轮
金融,33390,6c118658e0e9d4873da0bee9763806b5.png,慧择保险,广东,12,,1,3,10000,10.00,8,16,2016,B+轮
电子商务,15577,com_logo_archive/15577.png,韩后Hanhoo,广东,145,,1,8,--,10.00,5,3,2015,B轮
电子商务,32288,b5a7faa2480c407383b886baa7a8f060.png,Shopal,上海,145,,1,21,20000,10.00,9,16,2018,B+轮
金融,14956,1a8fe53d7d7e61fd2d5e3a213f0d500c.png,大特保,北京,12,,2,6,--,10.00,7,16,2016,B+轮
医疗健康,31887,9631d2b4ea2da11a52b638f2a9a0dbf1.jpg,安心医生,北京,47,,1,21,20000,10.00,2,16,2017,B+轮
金融,13693,archive/13693.png,量化派Quant Group,北京,12,,1,25,50000,10.00,11,4,2016,C轮
金融,31495,18c88fddcf0723ad77cacc3ac138cea1.jpg,米多财富,北京,12,,1,4,14700,10.00,1,3,2016,B轮
金融,12537,a7e059042bfcecd78dc2d1fcdee13857.png,短融网,北京,12,,1,13,30000,10.00,7,4,2018,C轮
电子商务,31290,94a79fe53cc049ac1a76c10ef59dc781.jpg,大丰收,上海,145,,1,14,20000,10.00,6,3,2017,B轮
金融,12330,2dd0a30b5dfe6951cbabc07e3d476653.jpg,微金所,北京,12,,1,5,5000,10.00,8,11,2016,战略投资
金融,30775,0bdd5b749460b02ee433b9d178ebf07e.jpg,积木股票,北京,12,,2,21,8400,10.00,4,4,2015,C轮
硬件,8984,68947c841efa1e9c9c2d597871d451a2.png,天使之橙,上海,103,,1,17,40000,10.00,10,3,2017,B轮
文化娱乐,30552,7a196e349fc0f227808176d499c4891f.jpg,易茗造型,北京,115,,1,10,20000,10.00,12,2,2015,A轮
企业服务,8197,1148ae93981e0783fafde42aa048f83a.png,智齿客服,北京,126,,1,10,15000,10.00,4,16,2018,B+轮
游戏,30323,1794e6f0c73714ce6b5324938ef86cda.jpg,香蕉游戏传媒,上海,80,,1,27,20000,10.00,9,3,2017,B轮
文化娱乐,3914,archive/3914.png,剧角映画,北京,115,,1,18,20000,10.00,11,5,2016,D轮
广告营销,29823,8718f686ceed4b04cce2857fc161f1e7.png,亿投传媒,上海,95,,1,21,10000,10.00,6,3,2018,B轮
文化娱乐,3513,773be4bc58efd0449afe323cd856e232.png,懒人听书,广东,115,,1,25,20000,10.00,6,4,2018,C轮
电子商务,29682,1cf59e24aca01f642f896c4bceed4565.png,51订货,江苏,145,,1,8,15000,10.00,7,3,2016,B轮
企业服务,3016,archive/3016.jpg,人瑞集团,上海,126,,1,11,10000,10.00,3,4,2016,C轮
企业服务,8188384,7788294e23d250dedac0b01feefd4a34.png,中科闻歌,北京,126,,1,16,--,10.00,5,2,2018,A轮
医疗健康,2189,dd375c664e9d4846ddaa68a70e9de3c8.png,华康移动医疗,广东,47,,1,28,20000,10.00,4,3,2015,B轮
文化娱乐,8594521,31794f76f755e6705d66dfae5674bcb7.png,小糖人传媒,北京,115,,1,4,10000,10.00,1,14,2018,A+轮
企业服务,1843,ea59ffdce6704ba0ed723c8fdc055427.jpg,会唐网,北京,126,,1,8,--,10.00,8,16,2017,B+轮
金融,29581,def12c84e2ee40f87289b43f79eb9d3b.png,洋钱罐,北京,12,,1,17,31000,10.00,11,2,2015,A轮
农业,33346188,1c51927c33632f8ad3b8be798fd9a858.png,社员网,北京,258,,1,3,5000,10.00,1,3,2017,B轮
企业服务,29123,0e3075964a4da9050cf15eb0a25af790.png,方糖小镇,上海,126,,1,9,20000,10.00,9,2,2016,A轮
汽车交通,33390214,edea5a8d1f50ed7a90eec306a0357d63.png,秒台车,广东,28,,1,16,22000,10.00,9,2,2018,A轮
物流,29050,a2f053009ac7c86945d5e1e3890dde75.png,九曳供应链,上海,211,,1,10,--,10.00,10,4,2018,C轮
金融,43,archive/43.png,91金融超市,北京,12,,1,19,--,10.00,10,4,2016,C轮
